name,pric
PYTHON数据分析与数据化运营(第2版),107.40
现货包邮 Python数据分析与挖掘实战（第2版） 张良均 谭立云 刘名军 江建明|8064819,55.30
Head First Python(中文版)第二版 python从入门到实践 python编程,78.00
现货包邮 DevOps和自动化运维实践/Python/Linux/Unix运维书|8053230,62.30
Python项目案例开发从入门到实战——爬虫、游戏和机器学习（从入门到实战·微课视频）,59.90
包邮 Python自然语言处理实战：核心技术与算法|8004503,48.30
机器人Python青少年编程开发实例,56.10
Python网络编程(第3版),57.40
利用Python进行数据分析 python基础教程 python核心编程 python学习手册,58.00
PYTHON机器学习与量化投资,57.40
正版 Python深度学习 deep learning深度学习 python人工智能机器学习经典教程,82.80
趣学Python编程 Jason Briggs编程语言 python入门到精,31.80
Python自然语言处理 人工智能NLP教程书籍 python编程语言程序设计书籍,69.68
Python3面向对象编程(第2版影印版)(英文版),102.78
Python物理学高效计算,52.50
PYTHON全案例学习与实践,94.60
玩着也能学Python python少儿编程 编程入门 零基础 小学生编程,55.80
11招玩转网络安全——用Python，更安全,49.68
包邮 Python数据科学：技术详解与商业实践 计算机与互联网 |8049590,69.30
Python新手使用Django架站的16堂课,75.60
Python基础教程,37.70
Python趣味编程--从入门到人工智能,38.14
Python可以这样学,51.70
Spark数据分析：基于Python语言,61.20
DK编程真好玩：9岁开始学Python 憨爸 适合9岁以上儿童 python编程从入门到精通,66.28
Python快速入门精讲,41.70
Python从菜鸟到高手,96.30
现货包邮 Python程序设计 张莉 高等教育出版社 高等学校程序设计系列教材,33.50
Python数据分析基础,78.30
跟老齐学Python：Django实战,65.60
Python编程 从入门到实践,70.20
Python编程从入门到精通+python基础教程 第3版 python基础入门,143.40
Python数据可视化之Matplotlib实践,43.40
程序设计导论：Python计算与应用开发实践（原书第2版）,87.90
Python编程从0到1（视频教学版）,65.10
包邮Python3网络爬虫开发实战+Python3爬虫 数据清洗与可视化实战+数据分析入门,155.80
精通Python设计模式,34.10
Python Django开发实战（视频讲解版）,58.50
Python从入门到精通+C语言从入门到精通+Java从入门到精通（第5版） 全3册 计算机零基,118.00
包邮套装书 Python学习手册第5版+利用Python进行数据分析第2版（2册）|8065098,229.80
Python程序设计第一课,41.60
PYTHON3爬虫实战:数据清洗.数据分析与可视化,44.00
Python学习,36.00
零基础学Python（全彩版）,73.40
Python编程 从入门到实践,59.50
Python编程快速上手 让繁琐工作自动化,34.50
疯狂Python讲义,116.80
笨办法学Python 3 编程从入门到实践教程书 Python基础教程自学书籍 代码基于,44.25
SELENIUM3自动化测试实战:基于PYTHON语言,50.70
PYTHON快速入门(第3版),67.60
Python程序员面试算法宝典,48.40
深入浅出深度学习：原理剖析与Python实践,75.10
现货包邮 Odoo快速入门与实战：Python开发ERP指南 刘金亮 计算机与互联网|8059543,55.30
Python从菜鸟到高手,95.00
从零开始学Python数据分析与挖掘,58.70
包邮 Python人工智能项目实战 智能系统与技术丛书|8064457,55.30
包邮现货Effective Python：编写高质量Python代码的59个有效方法|4912460,41.30
Python微控制器编程从零开始 使用MicroPython,37.10
Python人脸识别 从入门到工程实践,54.80
笨办法学Python3,31.60
PYTHON编程与初级数学,28.70
Python从入门到项目实践（全彩版）,91.80
Python全栈开发三剑客 （京东套装共3册）,283.00
Python基础教程（第3版）,49.50
【预售】Python程序设计 第3版 Python之父作序推荐编程入门教程书籍 Python3自,51.75
Python机器学习实战案例,35.40
Python王者归来,83.60
Python+Spark 2.0+Hadoop机器学习与大数据实战,84.10
从Python新手到Django架站高手（套装共2册）,150.10
父与子的编程之旅 与小卡特一起学Python 教孩子编程的图书 python编程入门教程,48.00
Python物理建模初学者指南,44.10
Python与量化投资,76.10
零基础入门学习Python(第2版) 微课视频版,67.20
Selenium 3+Python 3自动化测试项目实战 从菜鸟到高手,60.70
Python零基础入门学习-水木书荟,42.00
电子数据取证与Python方法,46.00
深度学习入门 基于Python的理论与实现 人工智能书籍,44.84
Python数据科学手册,76.30
Python机器学习手册-从数据预处理到深度学习 程序设计 电子工业出版社,69.50
【正版特价】Python爬虫开发与项目实战 计算机与互联网 |230303,37.90
利用Python进行数据分析（原书第2版）,88.60
Python项目开发案例集锦（全彩版）,117.80
笨办法学Python 3,49.40
Python学习手册（套装上下册）（原书第5版）,160.60
实用数据科学和Python机器学习（影印版）,68.30
数据结构——Python语言描述,50.20
小天才学Python+教学指导 scratch少儿趣味编程 小学生C++趣味编程设计,54.20
用Python玩转树莓派和MegaPi（创客教育）,33.20
零基础入门学习Python(第2版) 微课视频版,66.30
Python科学计算基础教程,35.50
Selenium 2自动化测试实战+Web接口开发与自动化测试 基于Python语言,88.00
Python项目开发案例集锦全彩版 python基础教程python编程从入门到实践编程书籍,63.00
轻量级Django,37.10
包邮 Python自动化运维：技术与*佳实践 计算机与互联网 |3804188,48.30
数据科学与分析：Python语言实现,56.90
C语言程序设计从入门到精通 python编程入门指南 java零基础自学教程 计算机编程语言套装,158.00
Python编程从入门到实践+Python3网络爬虫开发实战 组套装,137.20
PYTHON趣味编程:从入门到人工智能,44.00
零基础入门学习Python（第2版）,44.50
Python 3网络爬虫开发实战,49.50
Python核心编程（第3版）,49.50
包邮 [套装书]Python人工智能项目实战+人工智能极简编程入门（基于|8064808,100.60
Python核心编程 第3版(第3版),139.70
Python网络爬虫实战/清华科技大讲堂,67.80
Python网络爬虫权威指南 第2版,60.30
利用Python进行数据分析（原书第2版）python数据分析实战 数据挖掘分析 精通数据科学,83.30
Python程序设计基础,52.70
青少年Python创意编程趣味课堂(微课版),52.40
Python真好玩 教孩子学编程,65.60
Python3面向对象编程(第2版),73.80
Python 3.7编程快速入门 Python大数据编程工具零基础入门 Python编程语法基础,47.80
"Python基础教程(第2版 修订版) [挪]Magnus Lie Hetland,司维",43.45
PYTHON从入门到精通,58.50
【现货包邮】Python设计模式 Python设计模式教程书籍 Python编程开发从新手到高手,73.50
现货包邮Python测试之道 接口自动化及并发测试 Python 3.6编程技术及Unit Test,46.64
Spark数据分析：基于Python语言（英文版）,70.10
算法图解,24.50
Python语言程序设计基础（第2版）教育部大学计算机课程改革项目规划教材,34.10
Python自动化测试实战,34.50
【正版新书直发】Python程序设计 张莉 高等教育出版社 9787040512427,34.00
PYTHON数据预处理技术与实践,47.13
包邮Python 3网络爬虫开发实战+Python数据分析入门 从数据获取到可视化书,120.00
Python程序设计基础,26.80
从零开始学Python程序设计,65.20
跟老齐学Python,43.00
Python机器学习,39.50
Python编程从入门到精通 计算机电脑编程入门自学零基础书籍网络爬虫 pathon编程从入门到实践,49.90
Python3智能数据分析快速入门,98.10
Python物理学高效计算 [美]安东尼·斯科普斯(Anthony Scopatz) 凯,54.45
编程导论 以Python为舟,61.10
Python经典实例,112.20
Python与机器学习实战,50.70
零基础轻松学Python 青少年趣味编程 全彩版,41.20
PYTHON核心技术实战详解,66.60
Python游戏编程入门+C++游戏编程入门+游戏编程入门 全3册 游戏编程入门书籍,112.00
流畅的Python,69.50
Python编程从零基础到项目实战（微课视频版）,75.80
Python Cookbook（第3版）中文版,54.00
Raspberry Pi：Python编程入门,26.20
流畅的Python python核心编程教程书籍 Python语言编程程序设计教材书 软件开发技术,92.00
【正版特价】Python自动化运维：技术与*佳实践 计算机与互联网 |229476,33.10
【现货】基于Python的金融分析与风险管理 斯文著 科技金融大数据风控 量化交易,94.40
Python袖珍指南(第5版),25.70
Python树莓派编程,36.10
包邮 Python3智能数据分析快速入门 李明江 张良均 周东平 张尚佳 |8060488,83.30
NLTK基础教程 用NLTK和Python库构建机器学习应用,24.50
Python 3学习笔记（上卷）,84.60
Python云原生：构建应对海量用户数据的高可扩展Web应用,84.60
包邮 Python Linux系统管理与自动化运维|6550978,62.30
营销数据科学：用R和Python进行预测分析的建模技术,72.80
Python渗透测试编程技术 方法与实践+Python 黑帽子+Python绝技+黑客攻防入门到精通,196.50
包邮 Python游戏编程入门 +Python游戏编程快速上手 第4版 2本,89.00
【正版特价】Python自然语言处理实战：核心技术与算法 计算机与互联网|231503,33.10
Python编程锦囊（全彩版）,73.40
Python Qt GUI与数据可视化编程,49.50
Python核心编程 第3版,59.90
父与子的编程之旅：与小卡特一起学Python,34.50
Python地理空间分析指南 第2版 地理信息系统 程序设计 Python语言编程教程书,58.00
和孩子一起玩编程,34.50
Python黑客攻防入门+Python黑帽子+Python绝技 全3册 程序设计教材 计算机程序编程,150.00
PYTHON数据科学手册（影印版 英文版）,87.80
Python大战机器学习,49.90
包邮 Python Linux系统管理与自动化运维 计算机与互联网 |6550978,62.30
机器学习 使用OpenCV和Python进行智能图像处理,51.40
Python网络数据采集（第2版影印版 英文版）,72.30
Python金融实战,57.70
PYTHON量化交易:策略.技巧与实战,75.80
笨办法 学Python 3 基础编程 编程语言书籍,45.80
Python 3标准库,146.80
包邮 Python学习手册（原书第5版）+利用Python进行数据分析（原书第2版）|8065098,229.80
Python3.6零基础入门与实战,38.00
Python从小白到大牛,44.50
教孩子学编程 Python语言版,29.50
2本 Python编程从入门到实践+Python核心编程 第3版,142.88
Python技术手册（第2版）全面介绍Python程序开发专业知识,89.00
自动化平台测试开发：Python测试开发实战,48.30
利用Python进行数据分析(原书第2版) 韦斯麦金尼(Wes McKinney) 机械工业出版社,92.80
Python程序设计基础与应用,38.00
Python设计模式,75.50
Python数据分析基于Plotly的动态可视化绘图  Python教程书籍Plotly应用实战,54.00
包邮 Python文本分析 计算机与互联网 |7836736,55.30
【正版特价】精通Python网络爬虫：核心技术、框架与项目实战 计算机与|230066,33.10
Python 3反爬虫原理与绕过实战,44.50
Python网络爬虫权威指南 第2版,39.50
用Python写网络爬虫 第2版+Python编程 从入门到实践(全2册)数据抓取,102.80
Python语言及其应用书籍,56.80
Python3智能数据分析快速入门  智能数据分析技术 Python编程 NumPy pan,97.00
包邮从零开始自己动手写区块链+白话区块链 Python语言区块链开发技术教程书籍,95.80
Python3从入门到实战,58.40
ABAQUS Python二次开发攻略 CAE分析大系+Python语言在Abaqus中的应用,79.80
包邮 OpenCV 3计算机视觉：Python语言实现（原书第2版） 计|4966057,34.30
官方正版 Python数据可视化之matplotlib实践 数据分析入门实战 python程序设计书,42.48
【正版特价】面向自然语言处理的深度学习：用Python创建神经网络 计算|232195,33.10
基于Python的大数据分析基础及实战(Python3.6版本),51.60
深度学习入门 基于Python的理论与实现 鱼书 Python深度学习神经网络编程 书籍,40.50
Python基础与大数据应用,44.85
数据科学导论：Python语言实现,40.40
深度学习系列：Python神经网络编程+Python机器学习实践指南,95.30
【正版特价】Python语言程序设计 计算机与互联网 |227597,37.90
包邮疯狂Python讲义+你也能看得懂的Python算法书 pytho编程书籍,129.00
包邮 Python数据分析实战 计算机与互联网 |6399154,55.30
包邮 数据结构与算法：Python语言描述 裘宗燕|4909472,31.50
跟老齐学Python Django实战 第2版,59.60
PYTHON函数式编程(第2版),59.20
Python数据可视化编程实战(第2版),50.40
Python编程与问题求解/国外计算机科学经典教材,52.30
基于Python的金融分析与风险管理 斯文著 量化交易金融市场技术分析期权期货股票书,81.00
包邮 [套装书]Python数据分析与挖掘实战（第2版）+Python数|8065136,141.40
Python和HDF 5大数据应用,19.50
Python网络编程（原书第2版）,89.90
Python可以这样学,58.60
乐学Python编程-做个游戏很简单/青少年STEAM活动核心系列丛书,59.30
跟孩子一起玩编程——Python编程快速入门,58.40
OpenCV+TensorFlow深度学习与计算机视觉实战 Python网络爬虫实战深度学习实践,172.00
Python机器学习算法: 原理、实现与案例,58.60
Python数据科学与机器学习 从入门到实践,34.50
Python程序设计基础教程（高等院校信息技术应用型规划教材）,44.10
预测分析建模：Python与R语言实现,65.20
从AI模型到智能机器人：基于 Python与TensorFlow,75.10
正版 Python Qt GUI与数据可视化编程  pyqt5教程书籍 pyqt5快速开发与实战Q,77.00
深度强化学习原理与实践,49.50
数据科学导论——R与Python实现,43.20
Python+Tensorflow机器学习实战,69.10
Python机器学习和图像处理使用OpenCV和Python进行智能图像深度学习实践:计算机视觉,226.00
Python入门很简单,58.60
3本 用Python写网络爬虫 第2版+流畅的Python+python编程从入门到实践,210.52
零基础学Python（图文版）,34.50
Python快速编程入门,30.30
Python程序设计基础/高等学校计算机基础教育教材精选,35.50
编程超有趣 奇妙Python轻松学 第1辑,34.50
Python程序设计基础（原书第4版）,87.90
2本 基于Python的大数据分析基础及实战+Python编程从零基础到项目实战,98.74
软件架构：Python语言实现,64.20
Python编程从入门到精通 零基础学编程基础教程编程 网络编程web开发大数,39.80
正版 全2册 教孩子学编程python语言版+趣学Python 少儿儿童编程入门教程书中小学编程教材,86.00
多元统计分析——R与Python的实现（基于R应用的统计学丛书）,35.80
轻松掌握BBC micro：bit上Python编程（全彩）,65.60
现货 Python3 网络爬虫开发实战  Scrapy数据分析处理手册 数据抓取指南,66.00
强化学习：原理与Python实现,73.40
小小的Python编程故事,65.60
Python计算机视觉编程,34.50
Python深度学习：基于TensorFlow,65.20
Python高级编程,38.60
Python科学计算(第2版),86.80
Python核心编程 第3版(第3版),139.70
数据结构与算法：Python语言实现,76.30
包邮 Python学习手册:第4版 计算机与互联网 |197976,83.30
零基础入门学习Python （第2版）小甲鱼计算机/网络 程序设计 零基础学编程基础学习教程,58.00
玩着也能学Python,83.60
Python 快速入门 第3版,44.50
Python编程 从入门到实践 人民邮电出版社,72.00
Python游戏编程入门+Python游戏编程快速上手+ Python和Pygame游戏开发,178.80
5本 深度学习+深度学习入门+Python编程基础+神经网络编程+TensorFlow 人工智能书籍,332.92
现货 金融数量分析-基于Python编程 Python量化投资入门书籍 Python金融编,45.00
Python程序设计教程(高等院校计算机技术与应用系列规划教材),15.12
Python高效开发实战：Django、Tornado、Flask、Twisted（第2版）,98.00
java从入门到精通(第5版)+python从入门到精通+c语言从入门到精通 全,170.40
虫术——Python绝技,94.10
数据结构与算法 Python语言实现 数据结构,54.50
读故事学编程――Python王国历险记（双色）,65.60
趣学Python：教孩子学编程,29.50
Python数据分析与挖掘实战 张良均 机械工业出版社,48.30
Python人脸识别：从入门到工程实践+Python深度学习实战+深度学习与图像识别+机器学习 4册,245.00
Python深度学习,29.50
包邮 Python数据分析与挖掘实战  张良均 王路 谭立云 苏剑林|4894338,48.30
Python数据分析：机器学习、深度学习和NLP实例 Python数据分析师修炼之道数据分析与数据化,198.00
图解算法——使用Python,41.60
【现货包邮】Python语言程序设计基础 第2版 嵩天 第二版 教育部大学计算机课程改革项目规划教材,34.80
Python编程从入门到精通+python基础教程 第3版 python基础入门,143.40
计算机视觉与深度学习实战：以MATLAB、Python为工具,103.60
Odoo快速入门与实战：Python开发ERP指南,65.20
Python机器学习实战案例 高等院校本科生研究生机器学习 数据分析 数据挖掘等课程实验教材,29.80
PyQt5快速开发与实战,98.00
（全3册）Python核心编程（第3版）+Python编程快速上手+Python编程 从入门到实践,189.00
计算机科学丛书：Python语言程序设计,65.10
Python网络爬虫实战（第2版）,67.10
Python从小白到大牛,65.90
从零开始学Python网络爬虫,48.60
Python 黑帽子：黑客与渗透测试编程之道,54.50
Python编程 从入门到实践 核心编程语言书籍 计算机程序设计从零到精通到实践手册,69.90
包邮 Python深度学习：基于PyTorch 吴茂贵 郁明敏 杨本法 李涛 张粤磊|8064257,62.30
Python程序员面试算法宝典,53.60
Python项目开发案例集锦（全彩版）,117.80
Python测试之道,29.90
量化投资：以Python为工具,98.00
深入理解Python特性,24.50
Python编程入门 全3册 Python编程从入门到实践 零基础入门学习 基础教程,189.00
跟老齐学Python：轻松入门,56.10
教孩子学编程+父与子的编程之旅:与小卡特一起学PythonPython语言版python,95.60
Python Linux系统管理与自动化运维,73.40
Python人脸识别：从入门到工程实践,56.90
小小的Python编程故事,56.58
Python编程语言设计全套10册：深度学习+快速入门+自然语言处理+算法教程+基础教程+网络开发,729.00
Python树莓派编程,40.40
正版 PYTHON语言程序设计基础（第2版） 嵩天 高教 程序设计 Python math库,33.50
青少年Python编程入门,36.90
Python高性能 第2版  计算机与互联网 编程语言与程序设计 计算机 网络,45.80
Python真好玩+小天才学Python 编程基础+教学指导 python编程从入门到精通,105.50
Python参考手册 第4版 修订版,44.50
Python科学计算(第2版)（附光盘）,100.30
包邮 [按需印刷]编写高质量代码：改善Python程序的91个建议 张颖 赖勇浩|3770256,59.00
教孩子学编程+轻松玩转Scratch编程+给孩子的人工智能图解 python编程入门教程,115.50
Python微服务开发 计算机 网络 程序设计 Python 清华大学出版社,46.80
3本套 Python编程三剑客：Python编程从入门到精通+Python算法详解+Python核,192.00
Python编程无师自通——专业程序员的养成+用Python写网络爬虫 第2版 计,85.60
Python基础教程(第3版)/图灵程序设计丛书,74.00
正版 青少年Python创意编程趣味课堂 微课版 Python 趣味编程 创意编程 小学生编程 青,50.30
疯狂Java讲义 第5版+疯狂Python讲义 李刚著,187.00
Python机器学习实战案例赵卫东董亮,30.40
机械工业：Python数据分析与数据化运营 第2版,129.00
Python金融大数据分析 影印版 第2版 (德)伊夫·希尔皮斯科 第二版 东南大学出版社,118.50
正版 Python数学编程 Python编程从入门到实践 Python基础教程 Python数据分,46.00
机械工业：Python网络爬虫从入门到实践 第2版,69.00
精通Python爬虫框架Scrapy Scrapy Scrapy入门 数据抓取 软,45.80
Python 3.7 从零开始学  计算机 互联网 程序设计 编程语言 Pyth,60.20
精通Python爬虫框架Scrapy Scrapy+用Python写网络爬虫 第2,150.90
流畅的Python  python编程教程书籍 python代码大全 python,110.50
中公Python趣码快乐编程,50.70
电子工业：Python绝技：运用Python成为顶级黑客,79.00
Python算法详解 从入门到精通+笨办法学Python3 Python3编程从入门到实践教,99.60
从零起步学编程 Python篇 Java篇 C#篇 CSS篇 全4册 编程入门 零基础自学基,116.80
贝叶斯思维 统计建模的Python学习法 Python编程入门教材 贝叶斯定理 数,40.90
Python数据结构与算法分析 第2版 数据结构算法入门 python语言实现 Python,60.40
正版 Python 3.6零基础入门与实战 零压力学Python 基础教程从入门到实践,45.80
从零开始学Python 第2版 达人迷 零基础自学Python编程基础教程 Python从入,53.20
深入理解神经网络 从逻辑回归到CNN Python深度学习入门 tensorflow入门 神,67.70
Python神经网络编程+深度学习入门+Python编程从零基础到项目实战+TensorFl,357.00
现货包邮Python学习手册（原书第5版）上下册2本/计算机编程设计书籍|8053406,153.30
Python机器学习及实践：从零开始通往Kaggle竞赛之路,41.60
数据结构与算法：Python语言描述,38.60
Python数据可视化编程实战 第2版,34.50
现货 基于Python的大数据分析基础及实战 Python 3.6数据处理和分析,53.00
Python编程导论 第2版,34.50
Python金融实战,39.50
现货  Python与数据挖掘  Python基础入门,42.00
Python设计模式 第2版,19.50
PyTorch深度学习,27.50
Python数据分析 第2版（影印版）,80.40
Python编程快速上手,49.70
Python+Spark 2.0+Hadoop机器学习与大数据实战+生态系统操作与实战指南大数据平台,248.00
Python机器学习（原书第2版）,78.90
我的Python世界 玩《Minecraft我的世界》学Python编程,34.50
Python与有限元--基于Python编程的有限元分析及应用扩展,54.10
官方正版包邮 疯狂Python讲义 李刚 Python网络编程 Python编程从入门到实践教程书籍,84.96
Python学习笔记：从入门到实战,66.30
python编程 从入门到实践 零基础学python3.5 pathon核心技术网络爬虫书籍,69.00
Python基础视频教程,58.40
2本 Python编程从入门到实践+Python核心编程 第3版,142.88
Python与神经网络实战,75.10
Python算法指南：程序员经典算法分析与实现/清华开发者书库,101.10
Python与机器学习实战：决策树、集成学习、支持向量机与神经网络算法详解及编程实现,65.60
Python3爬虫实战——数据清洗、数据分析与可视化,56.80
【套装3本】Python3 网络爬虫开发实战+用Python写网络爬虫 第2版+精通Python爬虫,155.25
机器学习算法的数学解析与Python实现,73.40
Python 深度学习实战：75个有关神经网络建模、强化学习与迁移学习的解决方案,65.10
小天才学Python,30.60
包邮 利用Python进行数据分析（原书第2版） 计算机与互联网 |8050025,79.00
Python数据科学手册,77.90
机器学习入门之道,29.50
教孩子学编程+父与子的编程之旅:与小卡特一起学PythonPython语言版python,95.60
PySpark实战指南：利用Python和Spark构建数据密集型应用并规模化部署,40.40
Python量化交易实战,67.10
ABAQUS Python二次开发攻略 CAE分析大系,29.90
快乐机器学习,117.80
基于ArcGIS的Python编程秘笈（第2版）,34.50
11招玩转网络安全：用Python，更安全,65.60
Python核心编程 第3版 英文版,49.50
正版 Python Qt GUI与数据可视化编程  pyqt5教程书籍 pyqt5快速开发与实战Q,77.00
Python机器学习(原书第2版),70.20
Python数据科学手册,77.90
【套装3本】Python3 网络爬虫开发实战+用Python写网络爬虫 第2版+精通Python爬虫,155.25
Python语言在Abaqus中的应用（附CD-ROM光盘1张）,39.60
Keras深度学习 人工智能机器学习技术丛书,85.30
深度学习：基于Keras的Python实践,56.10
Python编程语言设计全套10册：深度学习+快速入门+自然语言处理+算法教程+基础教程+网络开发,729.00
Python绝技：运用Python成为顶级数据工程师,75.10
现货包邮 Python数据分析与挖掘实战（第2版）含源代码 建模数据 教学PPT|8064819,55.30
面向ArcGIS的Python脚本编程,24.50
正版现货 零基础学Python python编程从入门到实践零基础入门学习pyhton从入门到精通p,45.80
零压力学Python,39.50
包邮 5本 基于Python的金融分析与管理+Python金融大数据分析+Python金融实战书籍,368.60
Python程序设计基础（第2版）,41.00
机器学习：使用OpenCV和Python进行智能图像处理,56.90
Python数据预处理技术与实践,58.60
程序员学Python,44.50
OpenCV轻松入门：面向Python,98.00
Python袖珍指南（第5版）,36.10
正版现货 利用Python进行数据分析（原书第2版）python基础入门到精通书|8050025,79.00
Python密码学编程,34.50
Python人工智能项目实战,65.20
现货包邮 Python真好玩：教孩子学编程 刘凤飞 曾茜 青少年python基础入门|8062436,61.60
Python语言程序设计,34.10
Python机器学习实践指南,34.50
现货包邮 python核心编程（第三版）+从入门到实践+数据科学与机器学习 图书计算机编程语言书籍,179.00
从零开始学Scrapy网络爬虫（视频教学版）,81.60
Python深度学习实战：基于TensorFlow和Keras的聊天机器人以及人脸、物体和语音识别,56.90
Python金融数据分析,56.90
21天学通Python（第2版）,56.80
青少年Python编程入门,22.50
正版包邮 Python程序设计基础 第2版 董付国+Python程序设计实验指导书 预售,69.80
Selenium自动化测试 基于 Python 语言,24.50
小天才学Python,58.10
深入理解神经网络 从逻辑回归到CNN,44.50
自己动手写Python虚拟机,70.60
Abaqus GUI程序开发指南 Python语言,29.50
现货包邮Python数据分析与数据化运营第2版 宋天龙 在线实时解答案例数据源代码|8060185,90.30
Python3从入门到实战,71.30
Python快速编程入门,29.85
Python高级数据分析：机器学习、深度学习和NLP实例,48.70
Python 3.6从入门到精通（视频教学版）,75.60
生成对抗网络项目实战,34.50
Python+Spark 2.0+Hadoop机器学习与大数据实战+生态系统操作与实战指南大数据平台,248.00
数据科学导论：Python语言实现（原书第2版）,48.70
Python机器学习 第2版（影印版）,88.60
Python编程：从数据分析到数据科学,57.00
Python网络爬虫从入门到实践,75.10
零起点Python大数据与量化交易,94.10
谁说菜鸟不会数据分析(PYTHON篇),50.70
Python编程从入门到实践python3.0绝技核心编程基础教程网络爬虫入门书籍,54.90
零基础学Python从入门到精通 编程自学入门 自学Python基础入门项目实践 赠视频课程,39.80
Python爬虫开发与项目实战,65.20
Python零基础快乐学习之旅（K12实战训练）,50.10
Python从入门到精通,39.50
Python核心编程从入门到开发实战,78.20
Python趣味编程入门与实战,75.10
语料库与Python应用/语料库翻译学文库,45.00
毫无障碍学Python,49.30
Python程序设计开发宝典,58.60
机器人系统设计与制作：Python语言实现,48.60
零基础学Python,65.20
包邮 Python真好玩：教孩子学编程 计算机与互联网 |8062436,61.60
程序设计导论：Python语言实践,72.80
金融工程及其Python应用/高等院校财政金融专业应用型教材,39.40
Python程序设计实验指导书/高等院校信息技术规划教材,34.10
Python程序设计习题解析/大学计算机基础教育规划教材,26.10
OpenCV轻松入门 面向Python,75.90
包邮 从零开始学Python网络爬虫 计算机与互联网 |6821955,41.30
从Python开始学编程,38.20
Hadoop数据分析,34.50
PYTHON接口自动化测试,43.40
Python机器学习 预测分析核心算法,34.50
小天才学Python（教学指导）,35.70
玩转Python轻松过二级,42.90
包邮 Python金融大数据挖掘与分析全流程详解 王宇韬 房宇亮 肖金鑫|8062446,62.90
Python绝技,58.10
Python编程从入门到实践 python3.0绝技核心编程基础教程 网络爬虫入门,68.50
Python从入门到实践 上下册 Python编程入门指南 零基础自学pytho基础到精通书籍,56.00
scikit learn机器学习：常用算法原理及编程实战,48.60
面向自然语言处理的深度学习：用Python创建神经网络,56.90
清华科技大讲堂：Python数据分析实战,33.10
Python语言及其应用,56.70
Python物理建模初学者指南,42.60
Python机器学习经典实例（影印版 英文版）,65.60
预售包邮Python程序设计基础 第2版第二版 董付国清华大学出版社Python程序设计教材,38.60
Python程序设计入门到实战,58.60
解析Python网络爬虫：核心技术、Scrapy框架、分布式爬虫,45.50
教孩子学编程+趣学Python+父与子的编程之旅 全3册 教孩子编程的图书 python,129.00
Python与量化投资：从基础到实战,71.28
DK编程真好玩：9岁开始学Python,64.90
少博士趣学Python,75.90
Python 3.7编程快速入门,50.10
Python机器学习 5个数据科学家案例解析,42.30
精通Python自然语言处理,29.50
Python 3.6零基础入门与实战+Python网络爬虫实战（2版）2本,103.80
高教版Python语言程序设计冲刺试卷含线上题库第2版,39.40
预测分析：Python语言实现,48.70
Python编程从入门到精通+python基础教程 第3版 python基础入门,143.40
笨办法学Python 3 编程从入门到实践教程书 Python基础教程自学书籍 代码基于,44.25
SELENIUM3自动化测试实战:基于PYTHON语言,50.70
PYTHON快速入门(第3版),67.60
Python程序员面试算法宝典,48.40
【预售】Python程序设计 第3版 Python之父作序推荐编程入门教程书籍 Python3自,51.75
Python机器学习实战案例,35.40
Python趣味编程入门与实战,62.10
用Python写网络爬虫(第2版),37.84
Python爬虫开发与项目实战,60.83
Python3.7网络爬虫快速入门,32.16
编程导论——以Python为舟,57.93
